Jump,retOpen,Returns(120mins),Returns(90mins),Returns(60mins),Returns(30mins),Returns(15mins),ATR,EndBars,Target
0.997638,0.114998,-0.445,-0.162502,-0.022499,-0.060001,-0.005001,0.793849,9,1
0.997638,0.179996,-0.112503,-0.037502,-0.035004,0.059998,0.064999,0.793849,8,0
0.997638,0.077499,-0.200001,-0.059998,-0.0975,-0.037498,-0.102497,0.793849,7,2
0.997638,0.099998,-0.1175,-0.115002,-0.02,-0.079998,0.022499,0.793849,6,2
0.997638,-0.005001,-0.142498,-0.18,-0.119999,-0.0825,-0.105,0.793849,5,3
0.997638,0.07,-0.145,-0.049999,-0.109997,-0.029999,0.075001,0.793849,4,2
0.997638,0.107498,-0.067501,-0.0075,0.029999,0.112499,0.037498,0.793849,3,2
0.997638,0.134998,0.014999,-0.044998,0.035,0.064999,0.0275,0.793849,2,1
0.997638,0.07,-0.044998,-0.0075,0.075001,-0.037498,-0.064999,0.800386,1,2
1.001468,0.077499,-0.119999,-0.174999,-0.184998,-0.157497,-0.1325,0.800386,24,4
1.001468,0.102497,-0.1325,-0.107502,-0.162502,-0.107502,0.024998,0.800386,23,4
1.001468,0.114998,-0.137501,-0.147499,-0.119999,0.037498,0.012501,0.800386,22,4
1.001468,0.129997,-0.080002,-0.135002,-0.080002,0.0275,0.014999,0.800386,21,4
